feature,shap_value,trigger
account,0.19111809,greed
bonus,0.1644281,greed
message,0.15785968,
loan,0.113182336,greed
has_caps,0.10214541,formatting
win,0.096825525,greed
is_kiswahili_sheng,0.095380016,language
stop,0.08366246,urgency
free,0.08330832,greed
reply,0.081363335,
hello,0.07949515,
today,0.057358082,urgency
contact,0.050160166,scam_specific
day,0.04150893,
caller,0.03658044,
confirm,0.035905533,authority
payment,0.03171562,greed
apply,0.03027128,scam_specific
hour,0.029728467,
transaction,0.028412336,
