feature,shap_value,trigger
is_kiswahili_sheng,0.477745124793144,language
has_caps,0.08077001543424339,formatting
reply,0.03959023934404591,
stop,0.03833015552362403,urgency
account,0.03628801391669094,greed
ksh,0.03428665937996233,
kes,0.03219813670484559,greed
today,0.019748945240747513,urgency
bonus,0.019571338943229172,greed
tune,0.018053028241929503,
message,0.01762766607440056,
pesa,0.015552434499166217,
balance,0.014824183690481047,greed
god,0.013593773435853917,
link,0.012854649008698767,scam_specific
rent,0.01250121576447186,
lord,0.01206607098137243,
kwa,0.011965840404981392,
day,0.011323087566477423,
ke,0.011291105926744247,
