feature,shap_value,trigger
is_kiswahili_sheng,0.2975958285975703,language
has_caps,0.04113218704511779,formatting
stop,0.03675210171326111,urgency
yako,0.015793738696877033,
reward,0.013478810442187015,greed
hii,0.012668807000321483,
ksh,0.012444311310863123,
set,0.010851085457481502,
time,0.010717974379581137,urgency
reply stop,0.010254820755611104,
uko,0.01021893548138175,
win,0.009611849314347129,greed
message,0.00926622030503959,
tune,0.00893307108582341,
number,0.008828257151297784,
kes,0.007854968919899306,greed
pesa,0.007733200489542455,
god,0.007227355239102265,
dial,0.0072067747826592395,scam_specific
dear,0.0070966025853533895,social_proof
